Nome,Categoria,Tipo,Classificação(Anderson)
Bata Antes de Entrar,Drama,Filme,C-
O Chamado 3,Drama,Filme,C+
A Babá,Comédia,Filme,B-
Animais Noturnos,Drama,Filme,A-
1922,Crime,Série,B-
Ao Cair da Noite,Horror,Filme,C-
Thor Ragnarok,Ação,Filme,A-
As Loucuras que Dick & Jane,Comédia,Filme,B+
A Visita,Horror,Filme,D-
Os Meyeriwitz: A Felicidade Não se Escolhe,Comédia,Filme,D-
Liga da Justiça,Ação,Filme,B-
A Lista,Crime,Filme,B+
Ponto de Infidelidade,Comédia,Filme,B-
A Viatura,Crime,Filme,C-
Bright,Ação,Filme,D+
Terra Estranha,Drama,Filme,C-
O Bom Vizinho,Crime,Filme,B+
Vende-se Esta Casa,Horror,Filme,D-
Fragmentado,Horror,Filme,A-
O Bar,Comédia,Filme,C-
Pantera Negra,Ação,Filme,B+
Corpo Fechado,Drama,Filme,A-
99 Casas,Drama,Filme,B-
Corra!,Horror,Filme,B+
Aniquilação,Aventura,Filme,B-
Jessica Jones - Temporada 2,Ação,Série,B-
Justiceiro,Ação,Série,B+
A Cilada,Drama,Filme,B-
Lost,Aventura,Série,A-
The Titan,Drama,Filme,B-
Mama,Horror,Filme,D+
Guerra Infinita,Ação,Filme,A-
Conexão Mortal,Ação,Filme,E+
The Alienist,Drama‎,Série,A-
Planeta dos Macacos: A Guerra,Ação,Filme,B+
Spotlight - Segredos Revelados,Crime,Filme,B-
O Livro de Henry,Crime,Filme,B-
Safe,Drama,Série,B+
Deadpool 2,Ação,Filme,C+
Jogo do Dinheiro,Crime,Filme,B+
Polícia em Poder da Máfia,Crime,Filme,B+
Calibre,Drama,Filme,A-
Homem Formiga e Vespa,Ação,Filme,B-
Extinção,Ação,Filme,B+
O Último Portal,Mistério,Filme,C-
Inimigos Públicos,Crime,Filme,B+
Jack Reacher,Ação,Filme,B-
O Bosque,Crime,Filme,B+
O Segredo da Cabana,Horror,Filme,D+
A Morte Te Dá Parabéns,Horror,Filme,B-
Mãe!,Drama,Filme,C-
A Freira,Horror,Filme,C+
Borboleta Negra,Mistério,Filme,B-
Gente de Bem,Comédia,Filme,B-
Gotham 4a Temporada,Ação,Série,B-
Venom,Ação,Filme,C+
Boneco de Neve,Crime,Filme,B+
Trocando os Pés ,Comédia,Filme,C+
Atração Obsessiva,Suspense,Filme,B-
Agentes da Shield 4a Temporada,Ação,Série,C+
Letras da Morte,Crime,Filme,C-
Demolidor 3a Temporada,Ação,Série,A+
Inferno,Ação,Filme,B+
O Passageiro,Ação,Filme,C+
Cam,Horror,Filme,C+
Garota Exemplar,Drama,Filme,A-
Toc Toc,Comédia,Filme,C+
Esqueceram de Mim 2,Aventura,Filme,B-
American Horror Story - Season 6,Drama,Série,B-
Aquaman,Ação,Filme,C+
Bird Box,Drama,Filme,B+
Você Season 1,Crime,Série,B+
The Boys Season 1,Ação,Série,A+
Encontro Maligno,Crime,Filme,C+
Além da Vida,Fantasia,Filme,B-
Bohemian Rhapsody,Drama,Filme,A+
Amizade Desfeita 2: Dark Web,Horror,Filme,C-
Minha Fama de Mau,Drama,Filme,B+
Segredos de Sangue ,Drama,Filme,C+
Missão No Mar Vermelho,Drama,Filme,A-
Outra Vida Season 1,Aventura,Série,B-
O Céu é de Verdade,Drama,Filme,C-
Euphoria Season 1,Drama,Série,A-
Os Agentes do Destino,Romance,Filme,D+
O Filho Protegido,Suspense,Filme,B-
Chernobyl ,Drama,Série,A+
Fé Corrompida,Drama,Filme,B-
Gangues de Nova York,Crime,Filme,A-
Vida Dupla,Drama,Filme,D+
Distúrbio,Drama,Filme,B-
Zerando a Vida,Ação,Filme,C+
À Queima Roupa,Ação,Filme,B+
Obsessão Secreta,Drama,Filme,C+
Shazam!,Ação,Filme,B-
Stranger Things Season 3,Drama,Série,A-
Sequestrando Stella,Suspense,Filme,C+
Invasão a Londres,Ação,Filme,B-
Homem Aranha Longe de Casa,Ação,Filme,B-
Megatubarão,Ação,Filme,B-
Halloween H20,Horror,Filme,C+
Helloween,Horror,Filme,B-
A Garota no Trem,Crime,Filme,B+
Tempestade: planeta em fúria,Ação,Filme,D-
Jessabelle,Suspense,Filme,C+
Dilema Season 1,Suspense,Série,B+
A Primeira Noite de Crime,Ação,Filme,E+
Desejo de Matar,Ação,Filme,B+
Chambers Season 1,Drama,Série,D+
